"subject" "activityname" "featJerk" "featMag" "featDomain" "featinstrument" "featvariable" "featacceleration" "axis" "value"
1 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.6253187752
2 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.705541111960417
3 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.698691970322581
4 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.723881211666667
5 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.656415347969231
6 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.724476809649123
7 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.671519227884615
8 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.692304771296296
9 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.5083598518
10 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.790758196034483
11 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.586717210736842
12 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.967514271
13 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.65829956266129
14 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.621585250480392
15 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.7002272625
16 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.679229945142857
17 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.770712938676056
18 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.677799069846154
19 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.673394414060241
20 "LAYING" "NA" "Magnitude" "Frequence" "Gyroscope" "SD" "Body" "NA" -0.564644757058824
